# Czech payment system codes: the four-digit code of each institution,
# its name, its BIC and whether it settles through CERTIS.
# Generated from the code list the Czech National Bank publishes at
# https://www.cnb.cz/cs/platebni-styk/ucty-kody-bank/
0100 bank="Komerční banka, a.s." bic="KOMBCZPP" certis="True"
0300 bank="Československá obchodní banka, a. s." bic="CEKOCZPP" certis="True"
0600 bank="MONETA Money Bank, a.s." bic="AGBACZPP" certis="True"
0710 bank="ČESKÁ NÁRODNÍ BANKA" bic="CNBACZPP" certis="True"
0800 bank="Česká spořitelna, a.s." bic="GIBACZPX" certis="True"
2010 bank="Fio banka, a.s." bic="FIOBCZPP" certis="True"
2060 bank="Citfin, spořitelní družstvo" bic="CITFCZPP" certis="True"
2070 bank="TRINITY BANK a.s." bic="MPUBCZPP" certis="True"
2100 bank="ČSOB Hypoteční banka, a.s." certis="True"
2200 bank="Peněžní dům, spořitelní družstvo" certis="True"
2220 bank="Artesa, spořitelní družstvo" bic="ARTTCZPP" certis="True"
2250 bank="Banka CREDITAS a.s." bic="CTASCZ22" certis="True"
2600 bank="Citibank Europe plc, organizační složka" bic="CITICZPX" certis="True"
2700 bank="UniCredit Bank Czech Republic and Slovakia, a.s." bic="BACXCZPP" certis="True"
3030 bank="Air Bank a.s." bic="AIRACZPP" certis="True"
3060 bank="PKO BP S.A., Czech Branch" bic="BPKOCZPP" certis="True"
3500 bank="ING Bank N.V." bic="INGBCZPP" certis="True"
4300 bank="Národní rozvojová banka, a.s." bic="NROZCZPP" certis="True"
5500 bank="Raiffeisenbank a.s." bic="RZBCCZPP" certis="True"
5800 bank="J&T BANKA, a.s." bic="JTBPCZPP" certis="True"
6000 bank="PPF banka a.s." bic="PMBPCZPP" certis="True"
6200 bank="COMMERZBANK Aktiengesellschaft, pobočka Praha" bic="COBACZPX" certis="True"
6210 bank="mBank S.A., organizační složka" bic="BREXCZPP" certis="True"
6300 bank="BNP Paribas S.A., pobočka Česká republika" bic="GEBACZPP" certis="True"
6363 bank="Partners Banka, a.s." bic="PTBNCZPP" certis="True"
6600 bank="Banking Circle S.A., Czech Republic"
6700 bank="Všeobecná úverová banka a.s., pobočka Praha" bic="SUBACZPP" certis="True"
6800 bank="Sberbank CZ, a.s. v likvidaci" bic="VBOECZ2X" certis="True"
7910 bank="Deutsche Bank Aktiengesellschaft Filiale Prag, organizační složka" bic="DEUTCZPX" certis="True"
7950 bank="Raiffeisen stavební spořitelna a.s." certis="True"
7960 bank="ČSOB Stavební spořitelna, a.s." certis="True"
7970 bank="MONETA Stavební Spořitelna, a.s." certis="True"
7990 bank="Modrá pyramida stavební spořitelna, a.s." certis="True"
8030 bank="Volksbank Raiffeisenbank Nordoberpfalz eG pobočka Cheb" bic="GENOCZ21" certis="True"
8040 bank="Oberbank AG pobočka Česká republika" bic="OBKLCZ2X" certis="True"
8060 bank="Stavební spořitelna České spořitelny, a.s." certis="True"
8090 bank="Česká exportní banka, a.s." bic="CZEECZPP" certis="True"
8150 bank="HSBC Continental Europe, Czech Republic" bic="MIDLCZPP" certis="True"
8198 bank="FAS finance company s.r.o." bic="FFCSCZP1"
8220 bank="Payment execution s.r.o." bic="PAERCZP1"
8250 bank="Bank of China (CEE) Ltd. Prague Branch" bic="BKCHCZPP" certis="True"
8255 bank="Bank of Communications Co., Ltd., Prague Branch odštěpný závod" bic="COMMCZPP" certis="True"
8265 bank="Industrial and Commercial Bank of China Limited, Prague Branch, odštěpný závod" bic="ICBKCZPP" certis="True"
8500 bank="Multitude Bank p.l.c." certis="True"
8610 bank="Devizová burza a.s." certis="True"
8660 bank="PAYMONT, UAB" certis="True"
