# IBAN country registry: ISO country code, country name and BBAN structure.
# Generated from the "IBAN formats by country" table of
# https://en.wikipedia.org/wiki/International_Bank_Account_Number,
# which mirrors the SWIFT IBAN Registry; entry lengths cross-checked at generation time.
# Structure notation: <count>!n digits, <count>!a upper-case letters, <count>!c alphanumeric.
AD country="Andorra" bban="8!n12!c"
AE country="United Arab Emirates" bban="3!n16!n"
AL country="Albania" bban="8!n16!c"
AT country="Austria" bban="16!n"
AZ country="Azerbaijan" bban="4!a20!c"
BA country="Bosnia and Herzegovina" bban="16!n"
BE country="Belgium" bban="12!n"
BG country="Bulgaria" bban="4!a6!n8!c"
BH country="Bahrain" bban="4!a14!c"
BI country="Burundi" bban="5!n5!n11!n2!n"
BR country="Brazil" bban="23!n1!a1!c"
BY country="Belarus" bban="4!c4!n16!c"
CH country="Switzerland" bban="5!n12!c"
CR country="Costa Rica" bban="18!n"
CY country="Cyprus" bban="8!n16!c"
CZ country="Czech Republic" bban="20!n"
DE country="Germany" bban="18!n"
DJ country="Djibouti" bban="5!n5!n11!n2!n"
DK country="Denmark" bban="14!n"
DO country="Dominican Republic" bban="4!c20!n"
EE country="Estonia" bban="16!n"
EG country="Egypt" bban="25!n"
ES country="Spain" bban="20!n"
FI country="Finland" bban="14!n"
FK country="Falkland Islands" bban="2!a12!n"
FO country="Faroe Islands" bban="14!n"
FR country="France" bban="10!n11!c2!n"
GB country="United Kingdom" bban="4!a14!n"
GE country="Georgia" bban="2!a16!n"
GI country="Gibraltar" bban="4!a15!c"
GL country="Greenland" bban="14!n"
GR country="Greece" bban="7!n16!c"
GT country="Guatemala" bban="4!c20!c"
HN country="Honduras" bban="4!a20!n"
HR country="Croatia" bban="17!n"
HU country="Hungary" bban="24!n"
IE country="Ireland" bban="4!a6!n8!n"
IL country="Israel" bban="19!n"
IQ country="Iraq" bban="4!a15!n"
IS country="Iceland" bban="22!n"
IT country="Italy" bban="1!a10!n12!c"
JO country="Jordan" bban="4!a4!n18!c"
KW country="Kuwait" bban="4!a22!c"
KZ country="Kazakhstan" bban="3!n13!c"
LB country="Lebanon" bban="4!n20!c"
LC country="Saint Lucia" bban="4!a24!c"
LI country="Liechtenstein" bban="5!n12!c"
LT country="Lithuania" bban="16!n"
LU country="Luxembourg" bban="3!n13!c"
LV country="Latvia" bban="4!a13!c"
LY country="Libya" bban="21!n"
MC country="Monaco" bban="10!n11!c2!n"
MD country="Moldova" bban="2!c18!c"
ME country="Montenegro" bban="18!n"
MK country="North Macedonia" bban="3!n10!c2!n"
MN country="Mongolia" bban="4!n12!n"
MR country="Mauritania" bban="23!n"
MT country="Malta" bban="4!a5!n18!c"
MU country="Mauritius" bban="4!a19!n3!a"
NI country="Nicaragua" bban="4!a20!n"
NL country="Netherlands" bban="4!a10!n"
NO country="Norway" bban="11!n"
OM country="Oman" bban="3!n16!c"
PK country="Pakistan" bban="4!a16!c"
PL country="Poland" bban="24!n"
PS country="Palestinian territories" bban="4!a21!c"
PT country="Portugal" bban="21!n"
QA country="Qatar" bban="4!a21!c"
RO country="Romania" bban="4!a16!c"
RS country="Serbia" bban="18!n"
RU country="Russia (effective April 2023)" bban="14!n15!c"
SA country="Saudi Arabia" bban="2!n18!c"
SC country="Seychelles" bban="4!a20!n3!a"
SD country="Sudan" bban="14!n"
SE country="Sweden" bban="20!n"
SI country="Slovenia" bban="15!n"
SK country="Slovakia" bban="20!n"
SM country="San Marino" bban="1!a10!n12!c"
SO country="Somalia" bban="4!n3!n12!n"
ST country="São Tomé and Príncipe" bban="21!n"
SV country="El Salvador" bban="4!a20!n"
TL country="East Timor" bban="19!n"
TN country="Tunisia" bban="20!n"
TR country="Turkey" bban="5!n1!n16!c"
UA country="Ukraine" bban="6!n19!c"
VA country="Vatican City" bban="3!n15!n"
VG country="Virgin Islands, British" bban="4!a16!n"
XK country="Kosovo" bban="4!n10!n2!n"
YE country="Yemen" bban="4!a4!n18!c"
